%time,field.header.seq,field.header.stamp,field.header.frame_id,field.state0,field.state1,field.state2,field.state3,field.state4,field.state5,field.state6,field.state7,field.state8,field.state9,field.state10,field.state11,field.state12,field.state13,field.state14,field.state15,field.state16,field.state17,field.state18,field.state19,field.state20,field.state21,field.state22,field.state23,field.state24,field.state25,field.state26,field.state27,field.state28
1736346543943555431,1,1736346543942116022,,0.0,0.0,0.39943960309028625,1.0,0.0,0.0,0.0,0.0,0.0,-0.09416399896144867,0.0,-9.781107741657708e-28,-1.9323905823039227e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004939732607454062,-0.0004939732607454062,-0.0004939732607454062,-0.0004939732607454062,-0.06580643355846405,-0.06580643355846405,-0.06580643355846405,-0.06580643355846405
1736346543951517788,2,1736346543948288202,,0.0,0.0,0.39943960309028625,1.0,0.0,0.0,0.0,0.0,0.0,-0.09416399896144867,0.0,-9.781107741657708e-28,-1.9323905823039227e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004939732607454062,-0.0004939732607454062,-0.0004939732607454062,-0.0004939732607454062,-0.06580643355846405,-0.06580643355846405,-0.06580643355846405,-0.06580643355846405
1736346543964379196,3,1736346543958010196,,0.0,0.0,0.39934149384498596,1.0,0.0,0.0,0.0,0.0,0.0,-0.10207528620958328,0.0,-1.2775639915688202e-27,-2.0262775794136855e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005603318568319082,-0.0005603318568319082,-0.0005603318568319082,-0.0005603318568319082,-0.0668007954955101,-0.0668007954955101,-0.0668007954955101,-0.0668007954955101
1736346543968561588,4,1736346543965773105,,0.0,0.0,0.39934149384498596,1.0,0.0,0.0,0.0,0.0,0.0,-0.10207528620958328,0.0,-1.2775639915688202e-27,-2.0262775794136855e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005603318568319082,-0.0005603318568319082,-0.0005603318568319082,-0.0005603318568319082,-0.0668007954955101,-0.0668007954955101,-0.0668007954955101,-0.0668007954955101
1736346543982274307,5,1736346543975199937,,0.0,0.0,0.39923545718193054,1.0,0.0,0.0,0.0,0.0,0.0,-0.10998658090829849,0.0,-1.4558504080086576e-27,-2.1019476964872256e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006273809703998268,-0.0006273809703998268,-0.0006273809703998268,-0.0006273809703998268,-0.06719280779361725,-0.06719280779361725,-0.06719280779361725,-0.06719280779361725
1736346543983833313,6,1736346543980980396,,0.0,0.0,0.39923545718193054,1.0,0.0,0.0,0.0,0.0,0.0,-0.10998658090829849,0.0,-1.4558504080086576e-27,-2.1019476964872256e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006273809703998268,-0.0006273809703998268,-0.0006273809703998268,-0.0006273809703998268,-0.06719280779361725,-0.06719280779361725,-0.06719280779361725,-0.06719280779361725
1736346543992407656,7,1736346543991132259,,0.0,0.0,0.3991215229034424,1.0,0.0,0.0,0.0,0.0,0.0,-0.1178978681564331,0.0,-1.587590371773561e-27,-2.1565983365958935e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000694535905495286,-0.000694535905495286,-0.000694535905495286,-0.000694535905495286,-0.06701815128326416,-0.06701815128326416,-0.06701815128326416,-0.06701815128326416
1736346543997826013,8,1736346543996595859,,0.0,0.0,0.3991215229034424,1.0,0.0,0.0,0.0,0.0,0.0,-0.1178978681564331,0.0,-1.587590371773561e-27,-2.1565983365958935e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000694535905495286,-0.000694535905495286,-0.000694535905495286,-0.000694535905495286,-0.06701815128326416,-0.06701815128326416,-0.06701815128326416,-0.06701815128326416
1736346544014043040,9,1736346544007244110,,0.0,0.0,0.3989996612071991,1.0,0.0,0.0,0.0,0.0,0.0,-0.12580916285514832,0.0,-1.7474043274483055e-27,-2.2000385889899628e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007612488116137683,-0.0007612488116137683,-0.0007612488116137683,-0.0007612488116137683,-0.06631478667259216,-0.06631478667259216,-0.06631478667259216,-0.06631478667259216
1736346544015426249,10,1736346544014032602,,0.0,0.0,0.3989996612071991,1.0,0.0,0.0,0.0,0.0,0.0,-0.12580916285514832,0.0,-1.7474043274483055e-27,-2.2000385889899628e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007612488116137683,-0.0007612488116137683,-0.0007612488116137683,-0.0007612488116137683,-0.06631478667259216,-0.06631478667259216,-0.06631478667259216,-0.06631478667259216
1736346544022965794,11,1736346544021865129,,0.0,0.0,0.39886990189552307,1.0,0.0,0.0,0.0,0.0,0.0,-0.13372045755386353,0.0,-2.0099128159141634e-27,-2.2420775429197073e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008270106627605855,-0.0008270106627605855,-0.0008270106627605855,-0.0008270106627605855,-0.06512247771024704,-0.06512247771024704,-0.06512247771024704,-0.06512247771024704
1736346544028066639,12,1736346544026943206,,0.0,0.0,0.39886990189552307,1.0,0.0,0.0,0.0,0.0,0.0,-0.13372045755386353,0.0,-2.0099128159141634e-27,-2.2420775429197073e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008270106627605855,-0.0008270106627605855,-0.0008270106627605855,-0.0008270106627605855,-0.06512247771024704,-0.06512247771024704,-0.06512247771024704,-0.06512247771024704
1736346544043182528,13,1736346544036046743,,0.0,0.0,0.3987322151660919,1.0,0.0,0.0,0.0,0.0,0.0,-0.14163173735141754,0.0,-2.2351659229428002e-27,-2.2701035122062037e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008913528872653842,-0.0008913528872653842,-0.0008913528872653842,-0.0008913528872653842,-0.063482366502285,-0.063482366502285,-0.063482366502285,-0.063482366502285
1736346544044917718,14,1736346544041974067,,0.0,0.0,0.3987322151660919,1.0,0.0,0.0,0.0,0.0,0.0,-0.14163173735141754,0.0,-2.2351659229428002e-27,-2.2701035122062037e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008913528872653842,-0.0008913528872653842,-0.0008913528872653842,-0.0008913528872653842,-0.063482366502285,-0.063482366502285,-0.063482366502285,-0.063482366502285
1736346544052501454,15,1736346544051299095,,0.0,0.0,0.398586630821228,1.0,0.0,0.0,0.0,0.0,0.0,-0.14954303205013275,0.0,-2.2705924413048312e-27,-2.2855177953137766e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009538486483506858,-0.0009538486483506858,-0.0009538486483506858,-0.0009538486483506858,-0.06143653765320778,-0.06143653765320778,-0.06143653765320778,-0.06143653765320778
1736346544057745182,16,1736346544056572675,,0.0,0.0,0.398586630821228,1.0,0.0,0.0,0.0,0.0,0.0,-0.14954303205013275,0.0,-2.2705924413048312e-27,-2.2855177953137766e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009538486483506858,-0.0009538486483506858,-0.0009538486483506858,-0.0009538486483506858,-0.06143653765320778,-0.06143653765320778,-0.06143653765320778,-0.06143653765320778
1736346544067427028,17,1736346544065987348,,0.0,0.0,0.3984331488609314,1.0,0.0,0.0,0.0,0.0,0.0,-0.15745432674884796,0.0,-2.1592580904866994e-27,-2.2967281830283752e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001014113542623818,-0.001014113542623818,-0.001014113542623818,-0.001014113542623818,-0.059027645736932755,-0.059027645736932755,-0.059027645736932755,-0.059027645736932755
1736346544106503045,18,1736346544074750423,,0.0,0.0,0.3984331488609314,1.0,0.0,0.0,0.0,0.0,0.0,-0.15745432674884796,0.0,-2.1592580904866994e-27,-2.2967281830283752e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001014113542623818,-0.001014113542623818,-0.001014113542623818,-0.001014113542623818,-0.059027645736932755,-0.059027645736932755,-0.059027645736932755,-0.059027645736932755
1736346544354869960,19,1736346544092531681,,0.0,0.0,0.39827173948287964,1.0,0.0,0.0,0.0,0.0,0.0,-0.16536560654640198,0.0,-2.0688689981857566e-27,-2.3023333768856744e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010718057164922357,-0.0010718057164922357,-0.0010718057164922357,-0.0010718057164922357,-0.05629851669073105,-0.05629851669073105,-0.05629851669073105,-0.05629851669073105
1736346544354927232,20,1736346544096697092,,0.0,0.0,0.39827173948287964,1.0,0.0,0.0,0.0,0.0,0.0,-0.16536560654640198,0.0,-2.0688689981857566e-27,-2.3023333768856744e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010718057164922357,-0.0010718057164922357,-0.0010718057164922357,-0.0010718057164922357,-0.05629851669073105,-0.05629851669073105,-0.05629851669073105,-0.05629851669073105
1736346544359377957,37,1736346544189740180,,0.0,0.0,0.3964630365371704,1.0,0.0,0.0,0.0,0.0,0.0,-0.23656722903251648,0.0,-2.500657291706525e-27,-2.1397827550239957e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014395081670954823,-0.0014395081670954823,-0.0014395081670954823,-0.0014395081670954823,-0.024062851443886757,-0.024062851443886757,-0.024062851443886757,-0.024062851443886757
