time,f_z
15.081,0.0
15.181,0.0
15.281,0.0
15.381,0.0
15.481,0.0
15.581,0.0
15.681000000000001,0.0
15.781,-800.0
15.881,-800.0
15.981,-800.0
16.081,-800.0
16.181,0.0
16.281,0.0
16.381,0.0
16.481,0.0
16.581,0.0
16.681,-800.0
16.781,-800.0
16.881,-800.0
16.981,-800.0
17.081,-800.0
17.181,0.0
17.281,0.0
17.381,0.0
17.481,0.0
17.581,0.0
17.681,-800.0
17.781,-800.0
17.881,-800.0
17.981,-800.0
18.081,-800.0
18.181,0.0
18.281,0.0
18.381,0.0
18.481,0.0
18.581,0.0
18.681,-800.0
18.781,-800.0
18.881,-800.0
18.981,-800.0
19.081,-800.0
19.181,0.0
19.281,0.0
19.381,0.0
19.481,0.0
19.581,0.0
19.681,-800.0
19.781,-800.0
19.881,-800.0
19.981,-800.0
20.081,-800.0
20.181,0.0
20.281,0.0
20.381,0.0
20.481,0.0
20.581,0.0
20.681,-800.0
20.781,-800.0
20.865,-800.0
