time,c,k
4.286,569.6931605990603,3138.6397698369224
4.286,505.3964787661375,4895.58465665578
4.336,445.803385514963,6641.744026220044
4.386,379.3570818915568,8272.414595676213
4.436,332.61661011235384,9709.086843282521
4.486,-762.1471222931305,9822.470678461621
4.536,-621.3942274446412,9873.941240128643
4.586,205.42258516807647,13216.835842403205
4.636,309.77873252715904,13440.064142368754
4.686,246.6667112628058,13201.485083346175
4.736,282.3893962575083,12846.752473656645
4.786,192.33702182681952,13241.30124036338
4.836,81.71968447070574,13729.386167640243
4.886,133.76504687127462,14747.557264842217
4.936,192.79463715340106,15083.288793764761
4.986,133.90205812585177,14801.292649725969
5.036,138.73357302303063,14155.55269128952
5.086,204.3986321847256,13789.549815616641
5.136,132.86338095390275,14064.995262119308
5.186,115.89622286914413,14633.26171369418
5.236,194.52870045415125,15126.665205172452
5.286,149.73454479500495,14940.493797708361
5.336,122.41191019342912,14892.895177142242
5.386,137.90100666224183,13991.472325182085
5.436,254.17297838686838,13379.135930961085
5.486,127.83371923184129,13822.17174441064
5.536,119.88494586606868,14995.43931977516
5.586,223.63245126240236,15944.572061729521
5.636,142.40841167330802,15451.508604938663
5.686,98.17350437712255,14446.402494616608
5.736,193.61367190494053,13329.844667407557
5.786,148.7072145428363,13616.848909460017
5.836,93.28608007679172,14368.520349477942
5.886,179.9248162855101,15537.62942729658
5.936,168.49678296622722,15462.397168476034
5.986,98.92333481133575,14837.32761578761
6.036,160.95572542948838,13716.53843350836
6.086,215.05627879614778,13448.258724144547
6.136,113.18761815505493,14201.011752493696
6.186,243.55200456488942,16008.306538802715
6.236,186.85711591384853,15599.57179515351
6.286,110.8078808843155,14830.17930409402
6.336,183.51388754778478,13162.58750184076
6.386,186.83954500098113,13131.99041430434
6.436,105.11196747559441,13876.248091274
6.486,148.48200150788674,15455.866186293628
6.536,189.87132593087713,15871.39951587092
6.586,119.49529722699891,15328.766974028018
6.636,117.06195735234905,14025.953625539105
6.686,195.65770796599884,13123.055487419977
6.736,129.37346928099512,13645.094504085106
6.786,102.67861866117296,14674.162946748622
6.836,192.9854905295184,15752.10284141546
6.886,148.0878167246521,15438.5602900542
6.936,95.58013049729284,14661.662609778763
6.986,181.47864884991967,13369.956283704401
7.036,162.52315804803268,13509.197976030599
7.086,95.70228026036571,14195.691690527694
7.136,163.23284719656095,15394.249851689116
7.186,174.78217939100387,15476.711727686301
7.236,106.94634095224697,14980.241298548106
7.286,145.75158571235144,13857.312799214993
7.336,188.83821815308121,13533.144188477176
7.386,115.40131777037959,13980.37250056494
